"","kingdom","phylum","order","family","genus"
"ASV6687","Bacteria","Proteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonadaceae spc"
"ASV6688","Bacteria","Proteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"ASV66950","Bacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV66956","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Commensalibacter"
"ASV66962","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Bombilactobacillus"
"ASV6697","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillaceae spc"
"ASV67","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV670","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Weissella"
"ASV6706","Bacteria","Proteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"ASV6707","Bacteria","Actinobacteria","Micrococcales","Micrococcaceae","Paeniglutamicibacter"
"ASV671","Bacteria","Bacteroidetes","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"ASV6711","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillaceae spc"
"ASV67166","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lacticaseibacillus"
"ASV672","Bacteria","Proteobacteria","Xanthomonadales","Xanthomonadaceae","Ignatzschineria"
"ASV6734","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Saccharibacter"
"ASV67389","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV674","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Gluconobacter"
"ASV67410","Bacteria","Proteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV67415","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV67417","Bacteria","Proteobacteria","Rhodospirillales","Acetobacteraceae","Saccharibacter"
"ASV67441","Bacteria","Proteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
"ASV6752","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV67612","Bacteria","Proteobacteria","Proteobacteria spc","Proteobacteria spc","Proteobacteria spc"
"ASV67615","Bacteria","Proteobacteria","Enterobacterales","Enterobacterales spc","Enterobacterales spc"
"ASV6764","Bacteria","Chloroflexi","Chloroflexi spc","Chloroflexi spc","Chloroflexi spc"
"ASV67665","Bacteria","Firmicutes","Clostridiales","Peptoniphilaceae","Peptoniphilus"
"ASV67677","Bacteria","Firmicutes","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV677","Bacteria","Proteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"ASV678","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Propionispira"
"ASV6784","Bacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae","Candidatus-Koribacter"
"ASV679","Bacteria","Proteobacteria","Orbales","Orbaceae","Gilliamella"
"ASV68","Bacteria","Proteobacteria","Pseudomonadales","Pseudomonadaceae","Entomomonas"
"ASV680","Bacteria","Firmicutes","Clostridiales","Ruminococcaceae","Ruminococcaceae spc"
"ASV68092","Bacteria","Firmicutes","Selenomonadales","Selenomonadaceae","Selenomonadaceae spc"
"ASV681","Bacteria","Bacteroidetes","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV68120","Bacteria","Proteobacteria","Enterobacterales","Erwiniaceae","Erwinia"
"ASV6814","Bacteria","Bacteroidetes","Bacteroidales","Prevotellaceae","Prevotella"
"ASV682","Bacteria","Proteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV68230","Bacteria","Firmicutes","Lactobacillales","Streptococcaceae","Lactococcus"
